no,type,date,Value,inc3per,dec3per,incsub,decsub
1,ts_kal,4562,62.77555861,62.77555861,62.77555861,0,0
2,ts_kal,4744,57.93857022,59.67672733,56.25103905,1.738157107,-1.687531171
3,ts_kal,4850,32.29620133,34.26303999,30.44226725,1.966838661,-1.853934076
4,ts_kal,5112,65.41182403,71.47726624,59.86108518,6.065442207,-5.550738846
5,ts_kal,5292,65.99736735,74.28061839,58.63780609,8.283251039,-7.359561263
6,ts_kal,5474,59.87436133,69.41079481,51.64815004,9.536433475,-8.226211287
7,ts_kal,5658,30.04433911,35.87451211,25.16166101,5.830173002,-4.882678103
8,ts_kal,5842,42.19499302,51.89451917,34.30839065,9.699526147,-7.886602374
9,ts_kal,6024,51.77490711,65.58690329,40.87158978,13.81199618,-10.90331733
10,ts_kal,6206,47.2002009,61.58555641,36.17502374,14.38535551,-11.02517716
11,ts_kal,6390,24.86806037,33.42059365,18.5041724,8.552533284,-6.363887973
12,ts_kal,6574,37.03473254,51.26473118,26.75467876,14.22999864,-10.28005378
13,ts_kal,6754,52.87324001,75.38459757,37.08422674,22.51135756,-15.78901327
14,ts_kal,6936,50.33672894,73.92118347,34.27686302,23.58445453,-16.05986592
15,ts_kal,7120,34.99474936,52.93269831,23.13565191,17.93794895,-11.85909745
16,ts_kal,7304,45.46450689,70.83222035,29.18193693,25.36771346,-16.28256996
17,ts_kal,7484,62.40856291,100.1474228,38.89095313,37.73885985,-23.51760978
18,ts_kal,7666,57.54291852,95.10967663,34.81441205,37.56675811,-22.72850647
19,ts_kal,7850,39.06662917,66.50832109,22.94752731,27.44169192,-16.11910186
20,ts_kal,8034,43.81606378,76.83173306,24.98768892,33.01566928,-18.82837486
21,ts_kal,8214,70.95021829,128.1439864,39.28341562,57.19376807,-31.66680267
22,ts_kal,8396,46.7759167,87.01698392,25.14436015,40.24106722,-21.63155655
23,ts_kal,8580,37.56871973,71.98555194,19.60683309,34.41683221,-17.96188664
24,ts_kal,8764,47.44895362,93.64461483,24.04199327,46.19566121,-23.40696035
