"","DATE","Type","work","mean","sd","min","25%","50%","75%","max"
"1",2010-01-01,"pm10","home",44.077,7.762,34,37,41,51,58
"2",2010-01-01,"pm10","work",53.3,5.774,42,51,53.5,56.75,62
"3",2010-01-02,"pm10","home",62.231,21.672,42,44,50,79,103
"4",2010-01-02,"pm10","work",80,17.978,60,65.5,79,88.5,111
"5",2010-01-03,"pm10","home",67.385,9.553,52,61,69,76,82
"6",2010-01-03,"pm10","work",66.545,8.092,55,62.5,65,69.5,80
"7",2010-01-04,"pm10","home",50.692,9.295,41,44,46,55,67
"8",2010-01-04,"pm10","work",40.182,3.488,35,38,39,42.5,47
"9",2010-01-05,"pm10","home",54.846,9.146,39,50,56,61,67
"10",2010-01-05,"pm10","work",69.364,11.767,51,62.5,72,77,88
"11",2010-01-06,"pm10","home",46,6.904,34,41,46,51,58
"12",2010-01-06,"pm10","work",54.455,11.674,42,44.5,52,61.5,78
"13",2010-01-07,"pm10","home",68.077,22.805,41,50,60,86,103
"14",2010-01-07,"pm10","work",90.727,10.565,74,85.5,92,96,112
"15",2010-01-08,"pm10","home",100.308,11.8,85,93,95,111,120
"16",2010-01-08,"pm10","work",113.455,33.515,74,76.5,126,142,155
"17",2010-01-09,"pm10","home",102.077,11.857,83,94,102,113,117
"18",2010-01-09,"pm10","work",105.818,27.683,57,85.5,114,126,140
"19",2010-01-10,"pm10","home",92.769,16.729,60,85,96,101,119
"20",2010-01-10,"pm10","work",77.091,24.55,57,58.5,67,90,123
"21",2010-01-11,"pm10","home",94.692,12.243,63,92,95,98,116
"22",2010-01-11,"pm10","work",91.727,19.391,70,77,86,110,125
"23",2010-01-12,"pm10","home",45.462,4.013,40,43,44,48,55
"24",2010-01-12,"pm10","work",48.909,4.369,43,45,48,52.5,55
"25",2010-01-13,"pm10","home",40.615,5.47,33,35,40,45,48
"26",2010-01-13,"pm10","work",55.727,9.686,46,47,55,64,70
"27",2010-01-14,"pm10","home",57.462,11.406,43,45,54,68,72
"28",2010-01-14,"pm10","work",82.1,6.871,73,75.75,83,85,94
"29",2010-01-15,"pm10","home",67.462,13.482,50,58,63,75,92
"30",2010-01-15,"pm10","work",76.364,9.862,64,68,77,83.5,93
"31",2010-01-16,"pm10","home",74.769,8.358,65,68,72,79,95
"32",2010-01-16,"pm10","work",81.636,19.704,62,68,70,101.5,117
"33",2010-01-17,"pm10","home",67,14.776,52,53,62,83,93
"34",2010-01-17,"pm10","work",76.818,24.012,49,57,74,93.5,118
"35",2010-01-18,"pm10","home",92.462,26.909,65,68,81,123,128
"36",2010-01-18,"pm10","work",124.545,10.94,105,119,125,133,138
"37",2010-01-19,"pm10","home",114.077,14.756,93,102,116,123,141
"38",2010-01-19,"pm10","work",113,9.044,102,105,111,119.5,129
"39",2010-01-20,"pm10","home",80.615,22.329,52,60,78,96,114
