no,dates,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13
100,2010-02-19,ts_kal,work,72,82,90,77,73,58,57,50,40,34,54,-999,-999
101,2010-02-20,ts_kal,home,76,76,77,72,76,77,79,79,84,104,108,98,86
102,2010-02-20,ts_kal,work,85,104,104,89,88,78,76,76,80,77,80,-999,-999
103,2010-02-21,ts_kal,home,77,82,80,77,78,81,78,73,58,61,71,61,56
104,2010-02-21,ts_kal,work,84,90,84,45,44,48,49,51,56,51,58,-999,-999
105,2010-02-22,ts_kal,home,51,44,44,44,44,44,44,45,106,137,150,122,79
106,2010-02-22,ts_kal,work,48,61,90,88,83,110,112,111,124,45,57,-999,-999
107,2010-02-23,ts_kal,home,76,74,74,77,74,76,73,77,147,147,150,134,132
108,2010-02-23,ts_kal,work,103,101,102,104,110,90,61,58,61,74,103,-999,-999
109,2010-02-24,ts_kal,home,127,126,91,81,91,116,110,109,74,85,85,57,35
110,2010-02-24,ts_kal,work,105,103,101,103,87,48,50,46,66,69,74,-999,-999
111,2010-02-25,ts_kal,home,35,32,27,33,29,41,26,19,58,72,64,87,96
112,2010-02-25,ts_kal,work,17,12,54,9,7,8,13,16,28,36,44,-999,-999
113,2010-02-26,ts_kal,home,48,18,23,31,16,10,15,14,57,48,53,61,79
114,2010-02-26,ts_kal,work,25,47,36,14,16,13,22,29,33,41,42,-999,-999
115,2010-02-27,ts_kal,home,78,60,51,33,24,20,30,25,80,86,84,71,55
116,2010-02-27,ts_kal,work,20,30,24,28,33,34,40,41,52,48,61,-999,-999
117,2010-02-28,ts_kal,home,39,39,40,40,58,68,71,56,62,65,84,98,92
118,2010-02-28,ts_kal,work,49,39,44,47,48,55,69,92,84,79,64,-999,-999
119,2010-03-01,ts_kal,home,86,88,79,79,72,50,38,6,4,8,11,12,62
120,2010-03-01,ts_kal,work,50,51,57,1,1,1,1,1,2,2,58,-999,-999
121,2010-03-02,ts_kal,home,7,9,6,5,6,6,12,13,44,52,72,73,86
122,2010-03-02,ts_kal,work,19,19,26,33,44,45,60,27,14,21,31,-999,-999
123,2010-03-03,ts_kal,home,101,91,104,108,110,115,113,130,83,77,87,87,76
124,2010-03-03,ts_kal,work,132,133,127,114,110,110,106,111,104,93,83,-999,-999
125,2010-03-04,ts_kal,home,55,41,34,33,39,44,42,48,12,10,24,24,19
126,2010-03-04,ts_kal,work,49,46,44,39,37,28,27,21,15,16,11,-999,-999
127,2010-03-05,ts_kal,home,24,16,24,37,38,34,27,18,76,104,120,105,100
128,2010-03-05,ts_kal,work,21,20,19,27,38,41,30,19,22,36,52,-999,-999
129,2010-03-06,ts_kal,home,100,96,93,88,87,80,82,98,21,32,23,16,15
130,2010-03-06,ts_kal,work,99,101,99,103,93,81,74,61,65,90,70,-999,-999
131,2010-03-07,ts_kal,home,14,15,17,14,14,15,14,13,20,14,18,15,16
132,2010-03-07,ts_kal,work,20,13,10,13,17,18,23,22,19,24,23,-999,-999
133,2010-03-08,ts_kal,home,10,12,10,13,10,14,14,15,25,16,29,30,24
134,2010-03-08,ts_kal,work,14,18,16,13,18,16,13,20,18,20,25,-999,-999
135,2010-03-09,ts_kal,home,20,21,15,13,16,13,16,19,31,48,40,27,28
136,2010-03-09,ts_kal,work,18,22,22,21,19,27,33,36,38,34,37,-999,-999
137,2010-03-10,ts_kal,home,26,24,20,22,20,26,24,25,35,35,43,45,38
138,2010-03-10,ts_kal,work,34,24,29,52,54,55,55,58,57,44,37,-999,-999
139,2010-03-11,ts_kal,home,39,36,32,30,38,40,34,39,85,79,93,86,80
140,2010-03-11,ts_kal,work,45,35,33,47,47,43,39,53,62,72,74,-999,-999
141,2010-03-12,ts_kal,home,82,73,73,61,60,57,55,51,103,99,104,121,131
142,2010-03-12,ts_kal,work,49,46,52,65,72,42,92,105,132,194,160,-999,-999
143,2010-03-13,ts_kal,home,115,99,91,99,105,110,125,141,138,125,132,146,135
144,2010-03-13,ts_kal,work,193,214,185,158,133,130,140,136,139,139,131,-999,-999
145,2010-03-14,ts_kal,home,134,120,110,99,93,88,88,84,102,97,104,103,90
146,2010-03-14,ts_kal,work,78,81,72,67,83,161,250,218,168,118,107,-999,-999
147,2010-03-15,ts_kal,home,88,71,69,66,57,52,42,36,273,389,428,394,345
148,2010-03-15,ts_kal,work,34,18,22,13,9,15,8,7,20,69,159,-999,-999
149,2010-03-16,ts_kal,home,370,448,412,322,394,424,408,410,49,53,46,51,51
150,2010-03-16,ts_kal,work,441,460,432,365,200,100,88,73,57,47,41,-999,-999
151,2010-03-17,ts_kal,home,56,58,62,70,78,90,88,78,48,50,51,59,58
152,2010-03-17,ts_kal,work,89,73,66,35,44,56,59,48,54,56,50,-999,-999
153,2010-03-18,ts_kal,home,63,47,51,64,52,46,50,49,42,42,56,57,58
154,2010-03-18,ts_kal,work,54,52,50,46,52,38,33,39,49,51,42,-999,-999
155,2010-03-19,ts_kal,home,60,48,38,50,49,43,37,40,78,85,89,88,90
156,2010-03-19,ts_kal,work,32,27,25,33,29,32,37,54,54,54,63,-999,-999
157,2010-03-20,ts_kal,home,82,82,86,89,85,80,71,75,573,379,67,48,45
158,2010-03-20,ts_kal,work,107,109,91,91,34,43,61,55,93,257,381,-999,-999
159,2010-03-21,ts_kal,home,72,77,64,54,41,35,30,26,62,57,67,65,57
160,2010-03-21,ts_kal,work,30,32,36,44,65,64,45,38,34,38,45,-999,-999
161,2010-03-22,ts_kal,home,52,48,49,49,53,52,49,52,35,36,31,27,34
162,2010-03-22,ts_kal,work,61,60,71,73,78,87,67,37,31,32,34,-999,-999
163,2010-03-23,ts_kal,home,31,40,30,30,31,31,30,37,81,79,84,83,92
164,2010-03-23,ts_kal,work,37,41,38,55,64,69,71,67,71,68,72,-999,-999
165,2010-03-24,ts_kal,home,98,87,71,61,62,58,58,54,122,134,125,110,84
166,2010-03-24,ts_kal,work,57,62,77,91,88,104,106,91,99,97,85,-999,-999
167,2010-03-25,ts_kal,home,90,90,80,75,73,66,67,63,46,40,45,49,52
168,2010-03-25,ts_kal,work,54,74,86,69,69,44,39,28,51,52,53,-999,-999
169,2010-03-26,ts_kal,home,56,39,39,36,32,32,30,26,86,84,92,87,89
170,2010-03-26,ts_kal,work,29,30,30,41,44,48,54,63,82,82,87,-999,-999
171,2010-03-27,ts_kal,home,89,80,69,56,54,57,64,64,140,143,134,124,123
172,2010-03-27,ts_kal,work,76,85,96,100,105,111,107,111,110,112,121,-999,-999
173,2010-03-28,ts_kal,home,120,103,89,57,41,34,39,37,68,64,60,58,49
174,2010-03-28,ts_kal,work,44,44,47,40,37,25,32,36,43,58,68,-999,-999
175,2010-03-29,ts_kal,home,41,42,44,35,39,34,39,39,92,91,102,99,90
176,2010-03-29,ts_kal,work,41,49,52,65,73,74,52,65,86,82,86,-999,-999
177,2010-03-30,ts_kal,home,84,77,75,81,77,75,73,74,50,64,65,60,57
178,2010-03-30,ts_kal,work,87,81,68,62,61,51,65,67,76,73,53,-999,-999
179,2010-03-31,ts_kal,home,61,58,69,56,53,60,32,25,17,16,32,34,37
180,2010-03-31,ts_kal,work,28,33,25,20,13,13,13,9,12,14,16,-999,-999
181,2010-04-01,ts_kal,home,35,30,31,27,36,54,63,55,121,117,117,94,66
182,2010-04-01,ts_kal,work,58,36,44,33,35,35,44,58,133,140,149,-999,-999
183,2010-04-02,ts_kal,home,47,48,46,52,54,55,58,74,158,183,160,129,115
184,2010-04-02,ts_kal,work,80,95,117,144,117,98,100,93,88,111,128,-999,-999
185,2010-04-03,ts_kal,home,102,84,75,68,60,72,73,76,67,78,68,70,70
186,2010-04-03,ts_kal,work,78,84,118,110,62,78,73,76,78,63,67,-999,-999
187,2010-04-04,ts_kal,home,65,60,62,53,59,62,62,56,49,56,59,60,57
188,2010-04-04,ts_kal,work,58,55,73,66,62,63,65,67,61,56,46,-999,-999
189,2010-04-05,ts_kal,home,57,61,55,55,52,50,57,56,59,45,52,58,54
190,2010-04-05,ts_kal,work,57,61,36,31,30,46,39,50,70,69,78,-999,-999
191,2010-04-06,ts_kal,home,53,58,51,56,48,38,49,61,58,41,45,43,40
192,2010-04-06,ts_kal,work,72,69,75,49,30,23,31,39,38,52,51,-999,-999
193,2010-04-07,ts_kal,home,40,37,43,41,41,42,44,48,65,75,78,71,76
194,2010-04-07,ts_kal,work,36,25,23,25,30,31,36,41,45,45,53,-999,-999
195,2010-04-08,ts_kal,home,72,68,62,60,58,61,58,75,69,67,76,63,56
196,2010-04-08,ts_kal,work,71,61,55,61,58,70,44,75,76,73,64,-999,-999
197,2010-04-09,ts_kal,home,46,42,33,37,35,42,49,53,66,64,82,97,103
198,2010-04-09,ts_kal,work,62,58,36,32,42,44,38,48,43,75,70,-999,-999
199,2010-04-10,ts_kal,home,100,87,80,77,75,69,71,71,32,33,49,42,37
200,2010-04-10,ts_kal,work,95,120,106,102,51,36,40,53,56,41,33,-999,-999
201,2010-04-11,ts_kal,home,30,30,26,23,29,27,24,23,51,47,49,23,25
202,2010-04-11,ts_kal,work,23,23,20,24,28,34,38,39,45,35,46,-999,-999
